abstract,title,year,cleaned
"As cities pursue low-carbon mobility transitions, equitable access to electric vehicle (EV) infrastructure remains a persistent planning challenge, particularly for aging populations with reduced mobility. This study evaluates walkable access to public EV charging stations on Montréal Island, with a focus on elderly care facilities, highlighting that equitable, age-sensitive charger placement is increasingly vital as the city's aging population risks being overlooked in current infrastructure planning. Using GIS-based spatial analysis, we model accessibility to public EV charging infrastructure for both the general adult population and older adults, applying age-adjusted walking speeds within a 15-minute threshold. The results show that walk-up accessibility is systematically lower for older adults and is strongly associated with median age and the spatial concentration of urban amenities. We identify “double-burden” zones where demographic vulnerability (higher shares of older residents) intersects with infrastructure gaps, underscoring the limitations of proximity-based planning when it is decoupled from equity considerations. Building on these findings, our focused analysis of elderly care facilities and their surrounding walkable environments exposes a critical infrastructure gap: nearly half of these sites have no public EV charging stations within a reasonable walking distance. To inform targeted interventions, we overlay areas of poor charger accessibility with point-of-interest (POI) density and apply a simple greedy siting heuristic, identifying priority zones for deployment that maximize both need and broader community benefit. To contextualize these disparities, we develop a causal loop diagram that links charger deployment, equity objectives, and market dynamics, framing policy levers for equity-based planning of EV charging infrastructure. This research offers a transferable framework for cities aiming to align EV infrastructure with inclusive, proximity-based urban planning goals, ensuring that the electrification transition does not leave aging populations behind © 2025",Proximity planning for urban electrification: Walkable access to EV charging infrastructure in Montreal,2026,pursue low-carbon mobility transition equitable access electric vehicle infrastructure remains persistent aging population reduced mobility evaluates walkable access public charging station montr island focus elderly care facility highlighting equitable age-sensitive charger placement increasingly vital aging population risk overlooked infrastructure gis-based spatial analysis model accessibility public charging infrastructure general adult population older adult applying age-adjusted walking speed within -minute threshold show walk-up accessibility systematically lower older adult strongly associated median age spatial concentration amenity identify double-burden zone demographic vulnerability higher share older resident intersects infrastructure underscoring limitation proximity-based decoupled equity consideration building focused analysis elderly care facility surrounding walkable environment expose critical infrastructure nearly half site public charging station within reasonable walking distance inform targeted intervention overlay poor charger accessibility point-of-interest poi density apply simple greedy siting heuristic identifying priority zone deployment maximize need broader community benefit contextualize disparity develop causal loop diagram link charger deployment equity objective market dynamic framing policy lever equity-based charging infrastructure offer transferable aiming align infrastructure inclusive proximity-based ensuring electrification transition leave aging population behind
"This study explores Barcelona's Superblocks as a policy paradigm shift in urban planning, aiming to improve urban liveability and sustainability. Barcelona's initiative represents a prominent case among global cities promoting branded concepts, showcasing a strategy to transform monofunctional, car-dominated spaces into polyvalent, people-centred places while addressing a broad spectrum of social, mobility, environmental, climate and health-related goals. Alongside the Superblocks, similar transformative concepts include Paris' 15-Minute City, London's National Park City, Medellín's Social Urbanism, and New York's Street Fight. Both in narratives pitching these concepts and in scholarly literature, the qualification of paradigm shift has been liberally used. This article critically explores how disruptive urban planning concepts emerge and the extent to which they achieve the envisioned change. Using policy paradigm shift theory as a lens, we analyse Barcelona's Superblocks through a mixed-methods case study approach, including policy document analysis and expert interviews. We identify five key challenges that have shaped the implementation process, related to participatory, political, institutional, procedural, and ideational aspects, ultimately leading to the concept of an ‘unfinished policy paradigm shift’. The findings highlight the importance of early-stage participatory engagement, building political coalitions beyond electoral terms, achieving inertia in institutional reform, crafting a deliberate and data-driven transition strategy, and maintaining ideational coherence through shared boundary objects to unify narratives. This analysis extends the policy paradigm shift framework for application in urban planning and offers insights for planners and policymakers worldwide on adopting similar transformative concepts to achieve disruptive change within their urban contexts. © 2025 Elsevier Ltd.",Barcelona's Superblocks: An unfinished urban planning policy paradigm shift,2026,explores superblocks policy paradigm shift aiming improve liveability sustainability initiative represents prominent case promoting branded concept showcasing strategy transform monofunctional car-dominated space polyvalent people-centred place addressing broad spectrum social mobility environmental climate health-related alongside superblocks similar transformative concept include -minute national park medell social urbanism new york street fight narrative pitching concept scholarly literature qualification paradigm shift liberally critically explores disruptive concept emerge extent achieve envisioned change policy paradigm shift theory lens analyse superblocks mixed-methods case policy document analysis expert interview identify five shaped implementation process participatory political institutional procedural ideational ultimately leading concept unfinished policy paradigm shift highlight importance early-stage participatory engagement building political coalition beyond electoral achieving inertia institutional reform crafting deliberate data-driven transition strategy maintaining ideational coherence shared boundary object unify narrative analysis extends policy paradigm shift application offer planner policymakers worldwide adopting similar transformative concept achieve disruptive change within context
"Over the last number of decades, numerous approaches have emerged aimed at promoting urban liveability. One of the more recent iterations of this approach is the emergence of the 15-Minute City. The 15-Minute City draws significantly upon previous approaches to urban liveability, combining ideals from New Urbanism and place-making but with a focus on urban sustainability. Furthermore, the 15-Minute City emerged at a point in time where the prominence of Richard Florida's ‘creative class’ hypothesis had somewhat waned. Although ostensibly different, the 15-Minute City and the ‘creative class’ share a number of overlapping themes linked to urban liveability, including that of mixed-use urbanism, density and walkability. These overlaps raise a number of questions that this paper seeks to address. First, in drawing on theories of entrepreneurial urban transformation, the paper examines the role of mixed use urbanism within both the ‘creative class' and ‘15-Minute City’. Secondly, in following from this, the paper undertakes a critical analysis of questions of inclusion within both the ‘15-Minute City’ and the ‘creative class'. Finally, the paper examines the treatment of urban growth and agglomeration within both theories. © 2025 Elsevier Ltd.",Shifting Ideals of the Liveable City: From the ‘creative class’ to the ‘15-Minute City’,2026,last decade numerous approach emerged aimed promoting liveability recent iteration emergence -minute -minute draw upon previous approach liveability combining ideal new urbanism place-making focus sustainability -minute emerged point time prominence richard florida creative class hypothesis somewhat waned although ostensibly -minute creative class share overlapping theme linked liveability mixed-use urbanism density walkability overlap raise question seek address first drawing theory entrepreneurial transformation examines mixed urbanism within creative class -minute secondly following undertakes critical analysis question inclusion within -minute creative class finally examines treatment agglomeration within theory
"The concept of the 15-Minute City aims to enhance urban accessibility by ensuring that essential services are within a short walking distance. This study evaluates the accessibility of Porto, Portugal, particularly for the elderly, by assessing urban density, permeability, and walkability, with a specific focus on crossings and ramps. A five-step methodology was employed, including spatial analysis using QGIS and Place Syntax Tool, proximity assessments, and an in-situ survey of crossings and ramps in the CHP. The results indicate that while the city of Porto offers a dense and walkable urban environment, significant accessibility challenges remain due to inadequate ramp distribution. The data collection identified 80 crossings, of which only 60 were listed in OpenStreetMap, highlighting data inconsistencies. Additionally, 18 crossings lacked curb ramps, posing mobility barriers for elderly residents. These findings highlight the need of infrastructure improvements to support inclusive urban mobility. The study also proposes an automated method to enhance ramp data collection for broader applications. Addressing these gaps is crucial for achieving the equity and sustainability goals of the 15-Minute City model, ensuring that aging populations can navigate urban spaces safely and efficiently. © 2025 The Authors.","The 15-Minute City in Porto, Portugal: Accessibility for the elderly",2026,concept -minute aim enhance accessibility ensuring essential service within short walking distance evaluates accessibility porto elderly assessing density permeability walkability focus crossing ramp five-step methodology employed spatial analysis qgis place syntax tool proximity assessment in-situ survey crossing ramp chp indicate porto offer dense walkable environment accessibility remain inadequate ramp data collection identified crossing listed openstreetmap highlighting data inconsistency additionally crossing lacked curb ramp posing mobility barrier elderly resident highlight need infrastructure improvement support inclusive mobility proposes automated method enhance ramp data collection broader application addressing crucial achieving equity sustainability -minute model ensuring aging population navigate space safely efficiently
"Nowadays, the concept of compact city has come to agenda in order to prevent great disadvantages of urban sprawl. Developing an applicable measurement method to put compact city model in an appropriate framework is critical in the reflection of this city model on future plan decisions. This study aims to develop a method for measuring urban compactness at the neighborhood scale based on the number of accessible urban facilities and their service areas' overlap. The number of urban facilities in a neighborhood directly depends on population density. Each urban facility serves a certain area around it. Therefore, in a populated neighborhood, due to excess of population, more urban facilities are available. This causes their service areas to overlap. Accordingly, measurement of the areal multiplicity of these overlapping areas can be a means of understanding the compactness of a neighborhood. For this purpose, 20 neighborhoods were selected and classified according to their density and distance to the city center. Then, five basic urban facilities and appropriate walking distance to access them were chosen based on the literature. Their location in the neighborhood was determined and their service areas were drawn using the ArcGIS software (version 10.8). In addition, correlation analysis was carried out to search for a relation between density of neighborhood and the service areas of urban facilities overlap. A comparison of the results revealed that predominantly neighborhoods with high or moderate density located in the city center or its close proximity have numerically higher amounts of overlapping areas. Therefore, they can be considered more compact neighborhoods. Likewise, a significant positive correlation was revealed between overlapping of the urban facilities' service areas' ratio to the neighborhood area and the neighborhood's density as result of correlation analysis. Higher population density leads to more overlapping service areas, indicating a more compact neighborhood. © 2025 American Society of Civil Engineers.",Measurement of Urban Compactness in Neighborhood Scale,2026,nowadays concept compact come agenda order prevent great disadvantage sprawl developing applicable measurement method put compact model appropriate critical reflection model future plan decision aim develop method measuring compactness neighborhood scale accessible facility service overlap facility neighborhood directly depends population density facility serf certain around populated neighborhood excess population facility available cause service overlap accordingly measurement areal multiplicity overlapping mean understanding compactness neighborhood purpose neighborhood selected classified according density distance center five basic facility appropriate walking distance access chosen literature location neighborhood determined service drawn arcgis software version addition correlation analysis carried search relation density neighborhood service facility overlap comparison revealed predominantly neighborhood high moderate density located center close proximity numerically higher amount overlapping considered compact neighborhood likewise positive correlation revealed overlapping facility service ratio neighborhood neighborhood density correlation analysis higher population density lead overlapping service indicating compact neighborhood
"The 15-minute city concept aims to address some of the most pressing modern urban challenges, such as transport sustainability, territorial inequality, and social segregation. Despite the acknowledged environmental, social, and economic benefits of the 15-minute city, particularly for local sustainable development, some of its methodological and conceptual aspects have been subject to scholarly scrutiny. One of these key issues is the unclear interaction between 15-minute city planning principles and existing urban segregation. This is a particularly pertinent concern in cities with stark socioeconomic divides, like many in Latin America. To explore this topic, the main goal of this paper is to examine how walkable access to essential facilities and services varies according to the socioeconomic conditions of different areas in Santiago de Chile, one of the most segregated urban environments in Latin America. We use georeferenced data at the urban block level to assess the proximity to various services and facilities, including green spaces, healthcare centers, educational institutions, cultural establishments, and commercial areas. Our analysis reveals distinct spatial distribution patterns of urban amenities in the metropolitan area. Specifically, public services and cultural institutions are concentrated in the city center, while sports facilities are found predominantly in the urban periphery, and educational establishments are more evenly distributed across the city. Interestingly, residents of middle-low and middle class areas enjoy a higher variety of proximity to urban amenities than those living in affluent and poor areas. This is, among other factors, a consequence of real estate and urban planning deregulation and long-lasting self-segregation trends of the affluent urban population. These findings underscore the potential and challenges of implementing the 15-minute city concept to create more inclusive and integrated urban spaces in Latin American cities. © 2025 The Author(s)","15-minute city, proximity, and urban segregation in Latin-American cities: The case of Santiago de Chile",2026,-minute concept aim address pressing modern transport sustainability territorial inequality social segregation despite acknowledged environmental social economic benefit -minute local sustainable methodological conceptual subject scholarly scrutiny unclear interaction -minute principle existing segregation pertinent concern stark socioeconomic divide like many latin america explore topic examine walkable access essential facility service varies according socioeconomic condition santiago chile segregated environment latin america georeferenced data block assess proximity service facility green space healthcare center educational institution cultural establishment commercial analysis reveals distinct spatial pattern amenity metropolitan specifically public service cultural institution concentrated center sport facility predominantly periphery educational establishment evenly distributed interestingly resident middle-low middle class enjoy higher variety proximity amenity living affluent poor consequence real estate deregulation long-lasting self-segregation trend affluent population underscore implementing -minute concept create inclusive integrated space latin
"High-density and compact urban development have become popular globally, leading to volumetric changes in the built environment. However, knowledge of space use interaction in cities remains horizontally dominated. Therefore, beyond traditional land use study, this research aims to study how urban space use mixed within the 3D built environment. We explore the pattern of space uses in the 3D context from the scales of floors, buildings to local area, to better understand how volumetric urbanism shape cities. The City of Sydney in Australia is selected to capture the characteristics of 15 uses with a three-stage approach. The mixed-use degree, based on the Shannon Diversity Index, is crucial in determining the composition of uses within floors and buildings. The hidden pull and push dynamics among space uses illustrate the co-exist and spatial interaction of uses at floor and building scales. The co-agglomeration pattern of space uses from colocation analysis via ArcGIS Pro indicates neighbouring relationships, providing a foundation for the spatial interrelationship of uses for future 3D urban use modelling; while local colocation results indicate the geographical differences, enabling the identification of functional deficiencies in cities. For instance, green and open space was colocated with residential use but shows a local isolation pattern around the CBD, while office use was isolated from residential use but shows a local colocation pattern on the CBD edge. This research contributes to monitoring urban dynamics, supports sustainable governance practices, and advances volumetric perspectives, highlighting the essential transition from land use mix to floor use mix. © 2025 The Authors",Volumetric landscape: The mix characteristics and co-agglomeration of 3D space use in compact cities,2026,high-density compact become popular globally leading volumetric change built environment knowledge space interaction remains horizontally dominated beyond traditional land aim space mixed within built environment explore pattern space us scale floor building local better understand volumetric urbanism shape selected capture us three-stage mixed-use degree shannon diversity index crucial determining composition us within floor building hidden pull push dynamic space us illustrate co-exist spatial interaction us floor building scale co-agglomeration pattern space us colocation analysis via arcgis pro indicates neighbouring relationship providing foundation spatial interrelationship us future modelling local colocation indicate geographical difference enabling identification functional deficiency instance green open space colocated residential show local isolation pattern around cbd office isolated residential show local colocation pattern cbd edge contributes monitoring dynamic support sustainable governance advance volumetric perspective highlighting essential transition land mix floor mix
"In response to the urban challenges exacerbated by the COVID-19 pandemic, the ‘15-minute city’ concept has emerged as a promising concept for fostering sustainable and equitable urban environments by promoting local living. Despite broad endorsement from politicians, policymakers, and practitioners, the 15-minute city has attracted growing critical scrutiny regarding its theoretical foundations and real-world applicability. This study explores critical debates on the 15-minute city through a theoretical-practical-impact lens, drawing on a systematic content analysis of 102 academic publications on the 15-minute city published between 2020 and mid-2024. The findings identify key insights to respond to critiques and guide the concept toward fulfilling its original vision of more sustainable, equitable, and resilient urban environments, while also outlining directions for future research. Key insights include: (a) adopting flexible, context-specific approaches that account for the political, social, economic, and spatial realities and dynamics of different urban areas; (b) establishing robust governance frameworks that support participatory, bottom-up, and representative planning processes; (c) integrating principles of social justice into policymaking to prevent urban gentrification and social displacement; and (d) developing innovative measurement tools to more effectively measure evaluate the social and spatial dimensions of the concept. © 2025 The Authors.",Critical debates on the 15-minute city: A systematic content analysis of the literature,2026,response exacerbated covid- pandemic -minute concept emerged promising concept fostering sustainable equitable environment promoting local living despite broad endorsement politician policymakers practitioner -minute attracted growing critical scrutiny regarding theoretical foundation real-world applicability explores critical debate -minute theoretical-practical-impact lens drawing systematic content analysis academic publication -minute published mid- identify respond critique guide concept toward fulfilling original vision sustainable equitable resilient environment outlining direction future include adopting flexible context-specific approach account political social economic spatial reality dynamic establishing robust governance framework support participatory bottom-up representative process integrating principle social justice policymaking prevent gentrification social displacement developing innovative measurement tool effectively measure evaluate social spatial dimension concept
"In recent years, the compact city model has gained prominence as a strategy for sustainable urban development, with urban densification at its core. While densification is recognized as a key planning tool, questions remain about how to use it effectively to achieve broader sustainability goals. This study explores the role of density through the case of Zurich, a global city known for balancing competitiveness with quality of life. Using Campbell's (2007) triangle of conflicts in sustainable urban development, the research evaluates whether built, population, and functional density contribute to balancing the effects of intensified land-use processes, such as the provision of housing, proximity, and mix of uses. Focusing on Zurich's Aussersihl district, the study analyzes three planning phases: the industrial city, the modernist functional city, and the sustainable city era. By integrating historical and current GIS data with projections for 2040, the findings reveal a transition from mixed-use residential areas to service-based areas. This shift is driven by modernist planning instruments promoting functional separation and de-densification. These approaches may impede sustainability goals, including functional diversity and density of use. The study calls for updated planning instruments and a redefinition of how density is conceptualized and operationalized in urban planning. © 2025 The Author(s)",Revisiting density: The impact of CIAM on Zurich's plans for sustainable urban growth,2026,recent year compact model gained prominence strategy sustainable densification core densification recognized tool question remain effectively achieve broader sustainability explores density case zurich known balancing competitiveness life campbell triangle conflict sustainable evaluates whether built population functional density contribute balancing effect intensified land-use process provision housing proximity mix us focusing zurich aussersihl district analyzes phase industrial modernist functional sustainable era integrating historical gi data projection reveal transition mixed-use residential service-based shift driven modernist instrument promoting functional separation de-densification approach impede sustainability functional diversity density call updated instrument redefinition density conceptualized operationalized
"The 15-minute city concept emphasizes accessible urban living by ensuring essential services are reachable within walking or biking distance. However, most evaluations rely on two-dimensional (2D) analyses, neglecting the vertical complexity of high-density cities. This study introduces a 3D framework for assessing 15-minute accessibility in Nanjing, China. Using natural language processing and rule-based methods, we construct a 3D functional composition dataset from multi-source data. We then develop floor-level proximity indices that account for both horizontal travel time and vertical circulation (e.g., stairs, elevators). Analyzing over 90 million simulated trips, we find that accessibility generally declines with building height, though access to offices and commercial facilities improves at 20th or higher floors. Spatial inequalities emerge not only between central and peripheral zones but also across building levels and regional GDP levels, with a U-shaped disparity tied to distance from downtown. Notably, 11%–17% of trips considered accessible in 2D analyses exceed the 15-minute threshold when vertical travel is included. Our findings highlight the need to incorporate vertical space in 15-minute city evaluations and offer a scalable method to support inclusive, fair, and livable 3D urban planning with the background of 15-minute city. © 2025 Elsevier Ltd",Vertical 15-minute city: Modeling urban density and functional mix with multi-source geospatial data,2026,-minute concept emphasizes accessible living ensuring essential service reachable within walking biking distance evaluation rely two-dimensional analysis neglecting vertical complexity high-density introduces assessing -minute accessibility nanjing natural language processing rule-based method construct functional composition dataset multi-source data develop floor-level proximity index account horizontal travel time vertical circulation stair elevator analyzing million simulated trip accessibility generally decline building height though access office commercial facility improves higher floor spatial inequality emerge central peripheral zone building regional gdp u-shaped disparity tied distance downtown notably trip considered accessible analysis exceed -minute threshold vertical travel included highlight need incorporate vertical space -minute evaluation offer scalable method support inclusive fair livable background -minute
